1 1 534
2 1 21
3 1 160
4 1 0
5 1 1601
6 1 0
7 1 0
8 1 1146
9 1 164
10 1 1760
11 1 213
12 1 2080
13 1 142
14 1 2562
15 1 0
16 1 151
17 1 0
18 1 160
19 1 145
20 1 0
21 1 0
22 1 121
23 1 1818
24 1 0
25 1 212
26 1 1359
27 1 182
28 1 2158
29 1 139
30 1 0
31 1 176
32 1 0
33 1 1367
34 1 172
35 1 172
36 1 0
37 1 0
38 1 162
39 1 0
40 1 0
41 1 1748
42 1 166
43 1 0
44 1 177
45 1 0
46 1 218
47 1 0
48 1 2807
49 1 0
50 1 134
51 1 225
52 1 174
53 1 2267
54 1 197
55 0 0
56 1 2670
57 1 185
58 1 0
59 1 199
60 1 0
61 1 2630
62 1 160
63 1 2343
64 1 42
65 1 228
66 1 1085
67 1 1152
68 1 0
69 0 0
