1 1 407
2 1 16
3 1 196
4 1 0
5 1 940
6 1 0
7 1 0
8 1 1093
9 1 179
10 1 0
11 1 216
12 1 968
13 1 320
14 1 1336
15 1 0
16 1 218
17 1 1102
18 1 189
19 1 205
20 1 0
21 1 0
22 1 182
23 1 86
24 1 0
25 1 205
26 1 0
27 1 189
28 1 0
29 1 231
30 1 0
31 1 188
32 1 0
33 1 2297
34 1 292
35 1 150
36 1 1178
37 1 0
38 1 226
39 1 0
40 1 0
41 1 358
42 1 212
43 1 758
44 1 137
45 1 0
46 1 258
47 1 0
48 1 895
49 1 1166
50 1 167
51 1 250
52 1 239
53 1 1305
54 1 178
55 0 0
56 1 1165
57 1 210
58 1 850
59 1 216
60 1 0
61 1 1104
62 1 205
63 1 1254
64 1 15
65 1 214
66 1 665
67 1 550
68 1 0
69 0 0
